#num	clst	ipv	ip	tcp	qopt	ttl	olen	mss	wsize_ws	num_tcpopt	tcpopt	pldl	Nclass	Nprog	Nver	class	prog	ver	vOS	comment
32	0x18	0x00	0x40	0x02	0x0040	64	0	0	0,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	13	unix	Linux	2.2.x-3.x (no timestamps)		 Various distinctive flavors of Linux:
33	0x08	0x00	0x40	0x02	0x0040	64	0	0	0,0	1	0x02	0	2	2	12	unix	Linux	2.2.x-3.x (barebone)		 Various distinctive flavors of Linux:
34	0x00	0x00	0x40	0x02	0x0040	128	0	1460	64240,8	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	5	win	Windows	10		 Windows
35	0x00	0x00	0x40	0x02	0x0040	128	0	1460	64240,7	5	0x02,0x04,0x08,0x01,0x03	0	2	0	5	unix	WSLUbuntuonWindows	10		 Windows
36	0x08	0x00	0x40	0x02	0x0040	128	0	0	16384,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
37	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
38	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
39	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,1	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
40	0x08	0x00	0x40	0x02	0x0040	128	0	0	65535,2	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP		 Windows
41	0x00	0x00	0x40	0x02	0x0040	128	0	1460	16384,0	9	0x02,0x01,0x03,0x01,0x01,0x08,0x01,0x01,0x04	0	1	1	0	win	Windows	2003		 Windows
42	0x08	0x00	0x40	0x02	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
43	0x08	0x00	0x40	0x02	0x0040	128	0	0	8192,2	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
44	0x08	0x00	0x40	0x02	0x0040	128	0	0	8192,8	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8		 Windows
45	0x08	0x00	0x40	0x02	0x0040	128	0	0	8192,2	5	0x02,0x01,0x03,0x04,0x08	0	1	1	31	win	Windows	7 or 8		 Windows
46	0x02	0x00	0x40	0x02	0x0040	64	0	1380	5520,6	6	0x02,0x01,0x01,0x08,0x01,0x03	0	1	1	32	win	Windows	7 (Websense crawler)		 Robots with distinctive fingerprints:
47	0x02	0x00	0x40	0x02	0x0040	64	0	1380	5520,7	6	0x02,0x01,0x01,0x08,0x01,0x03	0	1	1	32	win	Windows	7 (Websense crawler)		 Robots with distinctive fingerprints:
48	0x18	0x00	0x40	0x02	0x0040	128	0	0	16384,0	4	0x02,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
49	0x18	0x00	0x40	0x02	0x0040	128	0	0	65535,0	4	0x02,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
50	0x18	0x00	0x40	0x02	0x0040	128	0	0	16384,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
51	0x18	0x00	0x40	0x02	0x0040	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	42	win	Windows	NT kernel 5.x		 Robots with distinctive fingerprints:
52	0x18	0x00	0x40	0x02	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x04	0	1	1	43	win	Windows	NT kernel 6.x		 Robots with distinctive fingerprints:
53	0x18	0x00	0x40	0x02	0x0040	128	0	0	8192,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	43	win	Windows	NT kernel 6.x		 Robots with distinctive fingerprints:
54	0x18	0x00	0x40	0x02	0x0040	128	0	0	0,0	4	0x02,0x01,0x01,0x04	0	1	1	41	win	Windows	NT kernel		 Robots with distinctive fingerprints:
55	0x18	0x00	0x40	0x02	0x0040	128	0	0	0,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	41	win	Windows	NT kernel		 Robots with distinctive fingerprints:
56	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,1	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x		 Mac OS
57	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,3	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	7	unix	MacOSX	10.x		 Mac OS
58	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,4	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	6	unix	MacOSX	10.9 or newer (sometimes iPhone or iPad)		 Mac OS
59	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,2	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	9	40	unix	iOS	iPhone or iPad		 Mac OS
60	0x18	0x00	0x40	0x02	0x0040	64	0	0	65535,0	8	0x02,0x01,0x03,0x01,0x01,0x08,0x04,0x0100	0	2	6	0	unix	MacOSX			 Mac OS
61	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,6	5	0x02,0x01,0x03,0x04,0x08	0	2	4	38	unix	FreeBSD	9.x or newer		 FreeBSD
62	0x08	0x00	0x40	0x02	0x0040	64	0	0	65535,3	5	0x02,0x01,0x03,0x04,0x08	0	2	4	35	unix	FreeBSD	8.x		 FreeBSD
63	0x18	0x00	0x40	0x02	0x0040	64	0	0	65535,0	5	0x02,0x01,0x03,0x04,0x08	0	2	4	0	unix	FreeBSD			 FreeBSD
64	0x08	0x00	0x40	0x02	0x0040	64	0	0	16384,0	9	0x02,0x01,0x01,0x04,0x01,0x03,0x01,0x01,0x08	0	2	3	25	unix	OpenBSD	3.x		 OpenBSD
65	0x08	0x00	0x40	0x02	0x0040	64	0	0	16384,3	9	0x02,0x01,0x01,0x04,0x01,0x03,0x01,0x01,0x08	0	2	3	28	unix	OpenBSD	4.x-5.x		 OpenBSD
66	0x08	0x00	0x40	0x02	0x0040	64	0	0	32850,1	9	0x01,0x03,0x01,0x01,0x08,0x01,0x01,0x04,0x02	0	2	5	34	unix	Solaris	8		 Solaris
67	0x0a	0x00	0x40	0x02	0x0040	64	0	0	34,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	2	5	5	unix	Solaris	10		 Solaris
68	0x04	0x04	0x00	0x02	0x0000	128	0	1460	3000,0	3	0x02,0x01,0x03	0	2	8	35	unix	OpenVMS	8.x		 OpenVMS
69	0x00	0x04	0x00	0x02	0x0000	64	0	1460	61440,0	3	0x02,0x01,0x03	0	2	8	33	unix	OpenVMS	7.x		 OpenVMS
70	0x02	0x04	0x00	0x02	0x0000	64	0	1024	4096,0	1	0x02	0	3	12	0	other	NeXTSTEP			 NeXTSTEP
71	0x00	0x04	0x40	0x02	0x0040	64	0	1460	32768,0	3	0x02,0x01,0x03	0	2	16	27	unix	Tru64	4.x		 Tru64
72	0x00	0x00	0x00	0x02	0x0000	64	0	1460	1024,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
73	0x00	0x00	0x00	0x02	0x0000	64	0	1460	2048,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
74	0x00	0x00	0x00	0x02	0x0000	64	0	1460	3072,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
75	0x00	0x00	0x00	0x02	0x0000	64	0	1460	4096,0	1	0x02	0	0	14	46	!	NMap	SYN scan	 unix,win	 NMap
76	0x00	0x00	0x00	0x12	0x0000	64	0	265	512,0	3	0x02,0x04,0x08	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
77	0x00	0x00	0x00	0x12	0x0000	64	0	0	4,10	4	0x04,0x08,0x03,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
78	0x00	0x00	0x00	0x12	0x0000	64	0	1460	1,10	5	0x03,0x01,0x02,0x08,0x04	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
79	0x00	0x00	0x00	0x12	0x0000	64	0	536	16,10	5	0x02,0x04,0x08,0x03,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
80	0x00	0x00	0x00	0x12	0x0000	64	0	640	4,5	6	0x08,0x01,0x01,0x03,0x01,0x02	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
81	0x00	0x00	0x00	0x12	0x0000	64	0	1400	63,0	5	0x02,0x03,0x04,0x08,0x0000	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
82	0x00	0x00	0x00	0x12	0x0000	64	0	265	31337,10	5	0x03,0x01,0x02,0x08,0x04	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
83	0x00	0x00	0x02	0x22	0x0000	64	0	1460	3,10	6	0x03,0x01,0x02,0x04,0x01,0x01	0	0	14	44	!	NMap	OS detection	 unix,win	 NMap
84	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	3	0x02,0x01,0x1200	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
85	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	4	0x02,0x08,0x01,0x0800	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
86	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,5	4	0x02,0x03,0x01,0x0f00	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
87	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	4	0x02,0x04,0x01,0x1000	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
88	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,5	5	0x02,0x03,0x08,0x01,0x0500	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
89	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,0	5	0x02,0x04,0x08,0x01,0x0600	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
90	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,5	5	0x02,0x03,0x04,0x01,0x0d00	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
91	0x00	0x00	0x00	0x02	0x0000	192	0	1331	1337,5	6	0x02,0x03,0x04,0x08,0x01,0x0300	0	2	15	45	unix	p0f	sendsyn utility	 unix,win	 the responses!
92	0x00	0x00	0x00	0x02	0x0000	128	0	1452	65535,0	7	0x02,0x01,0x01,0x04,0x01,0x01,0x08	0	3	11	0	other	Blackberry		 unix,win	 Odds and ends
93	0x00	0x00	0x40	0x02	0x0040	64	0	1360	32768,0	4	0x02,0x01,0x01,0x04	0	3	13	24	other	Nintendo	3DS	 unix,win	 Odds and ends
94	0x00	0x04	0x40	0x02	0x0040	64	0	1460	32768,0	4	0x02,0x01,0x01,0x04	0	3	13	47	other	Nintendo	Wii	 unix,win	 Odds and ends
95	0x02	0x00	0x40	0x02	0x0040	64	0	1460	5840,7	14	0x02,0x04,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x03	0	2	10	0	unix	BaiduSpider		 unix,win	 Odds and ends
96	0x02	0x00	0x40	0x02	0x0040	64	0	1460	5840,2	14	0x02,0x04,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x01,0x03	0	2	10	0	unix	BaiduSpider		 unix,win	 Odds and ends
97	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	1	0x02	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
98	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	3	0x02,0x04,0x08	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
99	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	4	0x02,0x01,0x01,0x08	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
100	0x0a	0x00	0x40	0x12	0x0000	64	0	0	10,0	4	0x02,0x01,0x01,0x04	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
101	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	3	0x02,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
102	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
103	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	6	0x02,0x01,0x01,0x08,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
104	0x1a	0x00	0x40	0x12	0x0000	64	0	0	10,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	25	unix	Linux	3.x	 unix,win	 to get a full set of up to 8 signatures.
105	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	1	0x02	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
106	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	3	0x02,0x04,0x08	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
107	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	4	0x02,0x01,0x01,0x08	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
108	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	4	0x02,0x01,0x01,0x04	0	2	2	15	unix	Linux	2.4-2.6	 unix,win	 to get a full set of up to 8 signatures.
109	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	3	0x02,0x01,0x03	0	2	2	16	unix	Linux	2.4.x	 unix,win	 to get a full set of up to 8 signatures.
110	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	16	unix	Linux	2.4.x	 unix,win	 to get a full set of up to 8 signatures.
111	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	6	0x02,0x01,0x01,0x08,0x01,0x03	0	2	2	16	unix	Linux	2.4.x	 unix,win	 to get a full set of up to 8 signatures.
112	0x0a	0x00	0x40	0x12	0x0000	64	0	0	4,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	16	unix	Linux	2.4.x	 unix,win	 to get a full set of up to 8 signatures.
113	0x1a	0x00	0x40	0x12	0x0000	64	0	0	4,0	3	0x02,0x01,0x03	0	2	2	19	unix	Linux	2.6.x	 unix,win	 to get a full set of up to 8 signatures.
114	0x1a	0x00	0x40	0x12	0x0000	64	0	0	4,0	5	0x02,0x04,0x08,0x01,0x03	0	2	2	19	unix	Linux	2.6.x	 unix,win	 to get a full set of up to 8 signatures.
115	0x1a	0x00	0x40	0x12	0x0000	64	0	0	4,0	6	0x02,0x01,0x01,0x08,0x01,0x03	0	2	2	19	unix	Linux	2.6.x	 unix,win	 to get a full set of up to 8 signatures.
116	0x1a	0x00	0x40	0x12	0x0000	64	0	0	4,0	6	0x02,0x01,0x01,0x04,0x01,0x03	0	2	2	19	unix	Linux	2.6.x	 unix,win	 to get a full set of up to 8 signatures.
117	0x08	0x00	0x40	0x12	0x0040	128	0	0	65535,0	1	0x02	0	1	1	2	win	Windows	XP	 unix,win	 Windows
118	0x08	0x00	0x40	0x12	0x0040	128	0	0	65535,0	3	0x02,0x01,0x03	0	1	1	2	win	Windows	XP	 unix,win	 Windows
119	0x08	0x00	0x40	0x12	0x0040	128	0	0	65535,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
120	0x08	0x00	0x40	0x12	0x0044	128	0	0	65535,0	4	0x02,0x01,0x01,0x08	0	1	1	2	win	Windows	XP	 unix,win	 Windows
121	0x08	0x00	0x40	0x12	0x0040	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
122	0x08	0x00	0x40	0x12	0x0044	128	0	0	65535,0	6	0x02,0x01,0x03,0x01,0x01,0x08	0	1	1	2	win	Windows	XP	 unix,win	 Windows
123	0x08	0x00	0x40	0x12	0x0044	128	0	0	65535,0	7	0x02,0x01,0x01,0x08,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
124	0x08	0x00	0x40	0x12	0x0044	128	0	0	65535,0	9	0x02,0x01,0x03,0x01,0x01,0x08,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
125	0x08	0x00	0x40	0x12	0x0040	128	0	0	16384,0	1	0x02	0	1	1	2	win	Windows	XP	 unix,win	 Windows
126	0x08	0x00	0x40	0x12	0x0040	128	0	0	16384,0	3	0x02,0x01,0x03	0	1	1	2	win	Windows	XP	 unix,win	 Windows
127	0x08	0x00	0x40	0x12	0x0040	128	0	0	16384,0	4	0x02,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
128	0x08	0x00	0x40	0x12	0x0044	128	0	0	16384,0	4	0x02,0x01,0x01,0x08	0	1	1	2	win	Windows	XP	 unix,win	 Windows
129	0x08	0x00	0x40	0x12	0x0040	128	0	0	16384,0	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
130	0x08	0x00	0x40	0x12	0x0044	128	0	0	16384,0	6	0x02,0x01,0x03,0x01,0x01,0x08	0	1	1	2	win	Windows	XP	 unix,win	 Windows
131	0x08	0x00	0x40	0x12	0x0044	128	0	0	16384,0	7	0x02,0x01,0x01,0x08,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
132	0x08	0x00	0x40	0x12	0x0044	128	0	0	16384,0	9	0x02,0x01,0x03,0x01,0x01,0x08,0x01,0x01,0x04	0	1	1	2	win	Windows	XP	 unix,win	 Windows
133	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,0	1	0x02	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
134	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,0	3	0x02,0x04,0x08	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
135	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,8	3	0x02,0x01,0x03	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
136	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x08	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
137	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,0	4	0x02,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
138	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,8	5	0x02,0x01,0x03,0x04,0x08	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
139	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,8	6	0x02,0x01,0x03,0x01,0x01,0x08	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
140	0x08	0x00	0x40	0x12	0x0040	128	0	0	8192,8	6	0x02,0x01,0x03,0x01,0x01,0x04	0	1	1	31	win	Windows	7 or 8	 unix,win	 Windows
141	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,6	3	0x02,0x01,0x03	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
142	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,6	5	0x02,0x01,0x03,0x04,0x08	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
143	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,6	5	0x02,0x01,0x03,0x04,0x0100	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
144	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,6	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	4	37	unix	FreeBSD	9.x	 unix,win	 FreeBSD
145	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,3	3	0x02,0x01,0x03	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
146	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,3	5	0x02,0x01,0x03,0x04,0x08	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
147	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,3	5	0x02,0x01,0x03,0x04,0x0100	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
148	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,3	6	0x02,0x01,0x03,0x01,0x01,0x08	0	2	4	35	unix	FreeBSD	8.x	 unix,win	 FreeBSD
149	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x04,0x08	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
150	0x08	0x00	0x40	0x12	0x0040	64	0	0	65535,0	3	0x02,0x04,0x0100	0	2	4	36	unix	FreeBSD	8.x-9.x	 unix,win	 FreeBSD
