# Date: 1753804458.000641375 sec (Tue 29 Jul 2025 15:54:18 UTC)
# Tranalyzer 0.9.3 (Anteater), Cobra
# Core configuration: L2, IPv4, IPv6
# SensorID: 666
# PID: 12620
# Priority: 0
# Command line: /home/lavanya/tranalyzer2-0.9.3/tranalyzer2/build/tranalyzer -r ./sf_Wireshark-1/uploaded_file.pcap -w ./sf_Wireshark-1
# HW info: DESKTOP-FJ3QCTM;Linux;6.6.87.2-microsoft-standard-WSL2;#1 SMP PREEMPT_DYNAMIC Thu Jun  5 18:30:46 UTC 2025;x86_64
# SW info: libpcap version 1.10.4 (with TPACKET_V3)
#
# Plugins loaded:
#   01: protoStats, version 0.9.3
#   02: basicFlow, version 0.9.3
#   03: macRecorder, version 0.9.3
#   04: portClassifier, version 0.9.3
#   05: nDPI, version 0.9.3
#   06: geoip, version 0.9.3
#   07: basicStats, version 0.9.3
#   08: tcpFlags, version 0.9.3
#   09: tcpStates, version 0.9.3
#   10: icmpDecode, version 0.9.3
#   11: dnsDecode, version 0.9.3
#   12: sslDecode, version 0.9.3
#   13: connStat, version 0.9.3
#   14: pktSIATHisto, version 0.9.3
#   15: descriptiveStats, version 0.9.3
#   16: txtSink, version 0.9.3
#   17: mysqlSink, version 0.9.3
#
# Col No.	Type	Name	Description
189	S:R	sslCIssuerCommonName	SSL certificate issuer common name
190	S:R	sslCIssuerOrgName	SSL certificate issuer organization name
191	S:R	sslCIssuerOrgUnit	SSL certificate issuer organizational unit name
192	S:R	sslCIssuerLocality	SSL certificate issuer locality name
193	S:R	sslCIssuerState	SSL certificate issuer state or province name
194	SC:R	sslCIssuerCountry	SSL certificate issuer country name
195	SC:R	sslJA3Hash	SSL JA3 fingerprint
196	S:R	sslJA3Desc	SSL JA3 description
197	SC:R	sslJA4	SSL JA4/JA4S fingerprint
198	S:R	sslJA4Desc	SSL JA4/JA4S description
199	U32	connSip	Number of unique source IPs
200	U32	connDip	Number of unique destination IPs
201	U32	connSipDip	Number of connections between source and destination IP
202	U32	connSipDprt	Number of connections between source IP and destination port
203	F	connF	The 'f' number: connSipDprt / connSip [EXPERIMENTAL]
204	F	connG	The 'g' number: connSipDprt / connSipDip [EXPERIMENTAL]
205	U64	connNumPCnt	Number of unique IP's source packet count
206	U64	connNumBCnt	Number of unique IP's source byte count
207	U32	tCnt	Number of tree entries
208	U16_U32_U32_U32_U32:R	Ps_Iat_Cnt_PsCnt_IatCnt	Packet size (PS) and min inter-arrival time (IAT) of bin histogram
209	F	dsMinPl	Minimum packet length
210	F	dsMaxPl	Maximum packet length
211	F	dsMeanPl	Mean packet length
212	F	dsLowQuartilePl	Lower quartile of packet lengths
213	F	dsMedianPl	Median of packet lengths
214	F	dsUppQuartilePl	Upper quartile of packet lengths
215	F	dsIqdPl	Inter quartile distance of packet lengths
216	F	dsModePl	Mode of packet lengths
217	F	dsRangePl	Range of packet lengths
218	F	dsStdPl	Standard deviation of packet lengths
219	F	dsRobStdPl	Robust standard deviation of packet lengths
220	F	dsSkewPl	Skewness of packet lengths
221	F	dsExcPl	Excess of packet lengths
222	F	dsMinIat	Minimum inter arrival time
223	F	dsMaxIat	Maximum inter arrival time
224	F	dsMeanIat	Mean inter arrival time
225	F	dsLowQuartileIat	Lower quartile of inter arrival times
226	F	dsMedianIat	Median inter arrival times
227	F	dsUppQuartileIat	Upper quartile of inter arrival times
228	F	dsIqdIat	Inter quartile distance of inter arrival times
229	F	dsModeIat	Mode of inter arrival times
230	F	dsRangeIat	Range of inter arrival times
231	F	dsStdIat	Standard deviation of inter arrival times
232	F	dsRobStdIat	Robust standard deviation of inter arrival times
233	F	dsSkewIat	Skewness of inter arrival times
234	F	dsExcIat	Excess of inter arrival times
